Palavra-chave de pesquisa
1 de junho de 2026 - 6 de agosto de 2026
Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Índice de qualidade,Detalhes da qualidade do anúncio (nível da campanha),Detalhes da qualidade do anúncio (nível do grupo de anúncios),CTR esper.,Relevância do anúncio,Exp. na página de destino,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,CPM médio
Remoção hospitalar por helicóptero,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
UTI aérea pediátrica,Pausado,pausado,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
remocao uti aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
Cotação UTI Aérea,Não qualificado,raramente exibido,Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aerea em salvador,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aerea maranhao,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aereo,Pausado,pausado,Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
preço de uti aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxiaereo,Pausado,pausado,Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti no ar,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",7,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
remoção aeromedica,Pausado,pausado,Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ambulancia aerea brasil,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",2,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,0,3,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
avião uti,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,0,12,"0,00%",0,"0,00","12,50%","87,50%","0,00",0,0,0,"0,00"
avião uti preço,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aereo uti,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aerea internacional,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",7,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aerea valor,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,0,2,"0,00%",0,"0,00","0,00%","50,00%","0,00",0,0,0,"0,00"
uti movel aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",6,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Na média,Na média,0,4,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
abaeté taxi aéreo,Pausado,pausado,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
aero medico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Acima da média,Abaixo da média,0,4,"0,00%",0,"0,00","0,00%","50,00%","0,00",0,0,0,"0,00"
transporte medico aereo,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",7,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,0,2,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
aeronave uti,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
aerovida taxi aereo,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,8,"0,00%",0,"0,00","33,33%","83,33%","0,00",0,0,0,"0,00"
remoção aeromedica,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
avião sanitário,Qualificado, --,Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti helicoptero,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Na média,0,3,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
remocao aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Na média,0,2,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
dn uti aerea,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
enfermagem aeromedica,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
iessp aeromedico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
aereo medico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
unimed aeromedico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,10,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
transporte médico aéreo,Qualificado, --,Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,5,"0,00%",0,"0,00","0,00%","50,00%","0,00",0,0,0,"0,00"
unimedaeromedica,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
resgate aeromédico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",2,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,0,5,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
amil resgate aéreo,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti móvel aérea preço,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte e resgate aeromédico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,2,"0,00%",0,"0,00","0,00%","50,00%","0,00",0,0,0,"0,00"
remoção aérea de pacientes,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti movel aérea preço,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
valor de uti aerea,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
transporte aeromédico unimed,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,4,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
taxi aereo uti movel,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",6,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Na média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
uti aéreo,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aviao,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
serviço aeromédico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
aeromedico samu,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
aeromedico o que é,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
transporte aeromedico sp,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
manual de transporte aeromédico,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
equipe de aeromédico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
avião uti valor,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,0,7,"0,00%",0,"0,00","50,00%","100,00%","0,00",0,0,0,"0,00"
uti aérea quanto custa,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aerea belo horizonte,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aero medico,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aeromédico preço,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Na média,Abaixo da média,Abaixo da média,0,5,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
transporte e resgate aeromedico,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
unimed aeromédica telefone,Limitado,baixa qualidade,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,2,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
transporte aeromedico interhosp,Não qualificado,"baixa qualidade, raramente exibido",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
atendimento médico aéreo,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
contratar resgate aéreo,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aeromédico neonatal,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
contratar resgate aéreo,Pausado,"raramente exibido, pausado",Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Serviço de UTI aérea,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Helicóptero para resgate médico,Pausado,"raramente exibido, pausado",Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aeromédico pdf,Qualificado, --,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Avião de UTI neonatal,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Serviço aeromédico 24 horas,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Avião UTI para emergências,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Avião com UTI equipada,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Serviço médico de emergência aérea,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Remoção médica aérea,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Emergência médica aérea,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Ambulância aérea para pacientes críticos,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Resgate médico com helicóptero,Não qualificado,raramente exibido,Correspondência de frase,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
